iter	Passed	Remaining
0	35	676
1	64	582
2	98	557
3	126	506
4	154	464
5	167	390
6	201	374
7	246	370
8	283	346
9	313	313
10	343	280
11	358	238
12	381	205
13	413	177
14	443	147
15	461	115
16	491	86
17	502	55
18	532	28
19	562	0
